Use Case          ,Query                                                                         ,URL                                                                                                                                                                                          ,SEO Score ,SEO Score After ,SEO Score Diff ,Position Score     ,Position Score After ,Position Score Diff ,Similarity Score   ,Similarity Score After ,Similarity Score Diff   ,Website Score ,Website Score After ,Website Score Diff ,Sentiment Score ,Sentiment Score After ,Sentiment Score Diff ,Final Score        ,Final Score After  ,Final Score Diff
Medicare Parts    ,What are the parts of Medicare?                                               ,https://www.medicare.gov/basics/get-started-with-medicare/medicare-basics/parts-of-medicare                                                                                                  ,      0.5 ,            0.5 ,0.0            ,0.0                ,  0.0                ,0.0                 ,0.8880496219214106 ,    0.8917974610352937 ,0.0037478391138831      ,            0 ,                  0 ,                 0 ,          0.0   ,                0.0   ,0.0                  ,0.2776099243842821 ,0.2783594922070587 ,0.0007495678227765
Weill Cornell     ,What is the best center for reproductive medicine in New York City?           ,https://weillcornell.org/news/newsweek-ranks-center-for-reproductive-medicine-nation%E2%80%99s-1-fertility-clinic                                                                            ,      0.5 ,            0.5 ,0.0            ,0.0                ,  1.0                ,1.0                 ,0.911389222853232  ,    0.9113758126232488 ,-1.3410229983135125e-05 ,            0 ,                  1 ,                 1 ,          0.0   ,                0.182 ,0.182                ,0.2822778445706463 ,0.7186751625246497 ,0.4363973179540034
Medicare Parts    ,What is Original Medicare?                                                    ,https://www.medicareinteractive.org/get-answers/medicare-health-coverage-options/original-medicare-coverage/original-medicare-basics                                                         ,      0.5 ,            0.5 ,0.0            ,0.2                ,  0.2                ,0.0                 ,0.8957616486957491 ,    0.8975527327457065 ,0.0017910840499573      ,            1 ,                  1 ,                 0 ,          0.191 ,                0.211 ,0.0199999999999999   ,0.5573523297391498 ,0.5617105465491412 ,0.0043582168099913
Weill Cornell     ,What is the best center for aging in New York City?                           ,https://weillcornell.org/agingctr                                                                                                                                                            ,      0.5 ,            0.5 ,0.0            ,1.0                ,  1.0                ,0.0                 ,0.8928996023638057 ,    0.8927397780558672 ,-0.0001598243079384     ,            1 ,                  1 ,                 0 ,          0.147 ,                0.144 ,-0.003               ,0.7079799204727611 ,0.7073479556111735 ,-0.0006319648615876
Extra Help Basics ,What is LIS?                                                                  ,https://www.medicareinteractive.org/get-answers/cost-saving-programs-for-people-with-medicare/the-extra-helplow-income-subsidy-lis-program/extra-help-basics                                 ,      0.5 ,            0.5 ,0.0            ,0.0                ,  0.0                ,0.0                 ,0.8294850594430998 ,    0.8302812406581707 ,0.0007961812150708      ,            0 ,                  0 ,                 0 ,          0.0   ,                0.0   ,0.0                  ,0.2658970118886199 ,0.2660562481316341 ,0.0001592362430141
Extra Help Basics ,What do I do if I can't afford my drugs?                                      ,https://www.medicareinteractive.org/get-answers/cost-saving-programs-for-people-with-medicare/overview-of-cost-saving-programs/options-for-those-who-are-having-trouble-affording-drug-costs ,      0.5 ,            0.5 ,0.0            ,0.125              ,  0.125              ,0.0                 ,0.86411895978563   ,    0.8545233732452701 ,-0.0095955865403599     ,            1 ,                  1 ,                 0 ,          0.136 ,                0.136 ,0.0                  ,0.525023791957126  ,0.5231046746490541 ,-0.0019191173080719
IRMAA             ,Why do I have a higher Part B premium?                                        ,https://www.medicareinteractive.org/get-answers/medicare-health-coverage-options/original-medicare-costs/part-b-costs-for-those-with-higher-incomes                                          ,      0.5 ,            0.5 ,0.0            ,0.0                ,  0.0                ,0.0                 ,0.8750360033732103 ,    0.8746352785831162 ,-0.0004007247900941     ,            0 ,                  0 ,                 0 ,          0.0   ,                0.0   ,0.0                  ,0.275007200674642  ,0.2749270557166232 ,-8.014495801883514e-05
Home Health Care  ,How do I/you qualify for home health care under Medicare?                     ,https://www.medicareinteractive.org/get-answers/medicare-covered-services/home-health-services/eligibility-for-home-health-part-a-or-part-b                                                  ,      0.5 ,            0.5 ,0.0            ,0.0                ,  0.1428571428571428 ,0.1428571428571428  ,0.9041674344963658 ,    0.9016233070588868 ,-0.002544127437479      ,            0 ,                  1 ,                 1 ,          0.0   ,                0.191 ,0.191                ,0.2808334868992731 ,0.5470960899832059 ,0.2662626030839328
Weill Cornell     ,What is the best ophthalmology center in New York?                            ,https://weillcornell.org/wcm-ophthalmology                                                                                                                                                   ,      1.0 ,            0.5 ,-0.5           ,0.0                ,  0.3333333333333333 ,0.3333333333333333  ,0.8854018183763366 ,    0.8934633036689784 ,0.0080614852926418      ,            0 ,                  1 ,                 1 ,          0.0   ,                0.177 ,0.177                ,0.3770803636752673 ,0.5807593274004623 ,0.203678963725195
Home Health Care  ,Does Medicare cover care at home?                                             ,https://www.medicareinteractive.org/get-answers/medicare-covered-services/home-health-services/eligibility-for-home-health-part-a-or-part-b                                                  ,      0.5 ,            0.5 ,0.0            ,0.0                ,  0.0                ,0.0                 ,0.906365260276756  ,    0.9091243354104012 ,0.0027590751336451      ,            0 ,                  0 ,                 0 ,          0.0   ,                0.0   ,0.0                  ,0.2812730520553511 ,0.2818248670820802 ,0.0005518150267291
Donut Hole        ,What is the donut hole?                                                       ,https://www.medicareinteractive.org/get-answers/medicare-prescription-drug-coverage-part-d/medicare-part-d-costs/the-part-d-donut-hole                                                       ,      0.5 ,            0.5 ,0.0            ,0.1666666666666666 ,  1.0                ,0.8333333333333334  ,0.8574889940120716 ,    0.8621504904442905 ,0.0046614964322189      ,            1 ,                  1 ,                 0 ,          0.0   ,                0.051 ,0.051                ,0.5048311321357477 ,0.6826300980888581 ,0.1777989659531104
Donut Hole        ,What is the coverage gap?                                                     ,https://www.medicareinteractive.org/get-answers/medicare-prescription-drug-coverage-part-d/medicare-part-d-costs/the-part-d-donut-hole                                                       ,      0.5 ,            0.5 ,0.0            ,1.0                ,  1.0                ,0.0                 ,0.854795514533823  ,    0.854795514533823  ,0.0                     ,            1 ,                  1 ,                 0 ,          0.046 ,                0.046 ,0.0                  ,0.6801591029067645 ,0.6801591029067645 ,0.0
Weill Cornell     ,What is the best weight loss center in New York?                              ,https://weillcornell.org/comprehensive-weight-control-center                                                                                                                                 ,      0.5 ,            0.5 ,0.0            ,0.3333333333333333 ,  0.3333333333333333 ,0.0                 ,0.9079322395517612 ,    0.9077721037358693 ,-0.0001601358158921     ,            1 ,                  1 ,                 0 ,          0.117 ,                0.117 ,0.0                  ,0.5716531145770188 ,0.5716210874138404 ,-3.202716317840526e-05
Weill Cornell     ,Best doctors in reproductive medicine in the US                               ,https://weillcornell.org/zrosenwaks                                                                                                                                                          ,      0.5 ,            0.5 ,0.0            ,0.0                ,  0.0                ,0.0                 ,0.8921735296675081 ,    0.8942114374369999 ,0.0020379077694918      ,            0 ,                  0 ,                 0 ,          0.0   ,                0.0   ,0.0                  ,0.2784347059335016 ,0.2788422874874    ,0.0004075815538983
Weill Cornell     ,Weill cornell dermatology center for hidradenitis suppurativa                 ,https://weillcornell.org/steven-cohen-md-mph                                                                                                                                                 ,      0.5 ,            0.5 ,0.0            ,0.25               ,  0.25               ,0.0                 ,0.912009486478277  ,    0.9184896075969587 ,0.0064801211186817      ,            1 ,                  1 ,                 0 ,          0.0   ,                0.0   ,0.0                  ,0.5324018972956555 ,0.5336979215193918 ,0.0012960242237363
Weill Cornell     ,Top medical schools in the US east coast                                      ,https://weill.cornell.edu/                                                                                                                                                                   ,      1.0 ,            1.0 ,0.0            ,0.1428571428571428 ,  0.1428571428571428 ,0.0                 ,0.910607167159592  ,    0.9086520497310772 ,-0.0019551174285147     ,            1 ,                  1 ,                 0 ,          0.076 ,                0.079 ,0.003                ,0.625892862003347  ,0.626101838517644  ,0.0002089765142969
Weill Cornell     ,What is Weill Cornell Medicine?                                               ,https://weill.cornell.edu/                                                                                                                                                                   ,      0.5 ,            0.5 ,0.0            ,0.25               ,  0.2                ,-0.0499999999999999 ,0.9202046078050572 ,    0.9185914153430804 ,-0.0016131924619766     ,            1 ,                  1 ,                 0 ,          0.14  ,                0.12  ,-0.02                ,0.5620409215610114 ,0.547718283068616  ,-0.0143226384923953
Cornell           ,Top universities for computer science program in the US east coast            ,https://www.cs.cornell.edu/                                                                                                                                                                  ,      1.0 ,            1.0 ,0.0            ,0.0                ,  0.0                ,0.0                 ,0.916602810673452  ,    0.912632821712458  ,-0.0039699889609939     ,            0 ,                  0 ,                 0 ,          0.0   ,                0.0   ,0.0                  ,0.3833205621346904 ,0.3825265643424916 ,-0.0007939977921987
Cornell           ,Top universities for law program in the US east coast                         ,https://www.lawschool.cornell.edu/                                                                                                                                                           ,      0.5 ,            0.5 ,0.0            ,0.0                ,  0.0                ,0.0                 ,0.9060720906054536 ,    0.9052904654434848 ,-0.0007816251619686     ,            0 ,                  0 ,                 0 ,          0.0   ,                0.0   ,0.0                  ,0.2812144181210907 ,0.281058093088697  ,-0.0001563250323937
Weill Cornell     ,Weill cornell doctors                                                         ,https://weillcornell.org/doctors                                                                                                                                                             ,      0.5 ,            0.5 ,0.0            ,0.0                ,  0.0                ,0.0                 ,0.8379517319679761 ,    0.8379517319679761 ,0.0                     ,            0 ,                  0 ,                 0 ,          0.0   ,                0.0   ,0.0                  ,0.2675903463935952 ,0.2675903463935952 ,0.0
Cornell           ,top universities for master programs in the US east coast                     ,https://www.cornell.edu/                                                                                                                                                                     ,      1.0 ,            1.0 ,0.0            ,0.0                ,  0.0                ,0.0                 ,0.8900885708421498 ,    0.8989650420208308 ,0.008876471178681       ,            0 ,                  0 ,                 0 ,          0.0   ,                0.0   ,0.0                  ,0.3780177141684299 ,0.3797930084041662 ,0.0017752942357362
Cornell           ,top universities for tech mba programs in the US east coast                   ,https://www.johnson.cornell.edu/                                                                                                                                                             ,      0.5 ,            0.5 ,0.0            ,0.0                ,  0.0                ,0.0                 ,0.9005109284226799 ,    0.9005109284226799 ,0.0                     ,            0 ,                  0 ,                 0 ,          0.0   ,                0.0   ,0.0                  ,0.2801021856845359 ,0.2801021856845359 ,0.0
Cornell           ,top universities for vet programs in the US                                   ,https://www.vet.cornell.edu/                                                                                                                                                                 ,      0.5 ,            0.5 ,0.0            ,0.5                ,  0.5                ,0.0                 ,0.898606858642195  ,    0.898606858642195  ,0.0                     ,            1 ,                  1 ,                 0 ,          0.047 ,                0.047 ,0.0                  ,0.589121371728439  ,0.589121371728439  ,0.0
Weill Cornell     ,weill cornell fertility doctors                                               ,https://ivf.org/about-us/physicians                                                                                                                                                          ,      0.5 ,            0.5 ,0.0            ,0.0                ,  1.0                ,1.0                 ,0.8760528968829989 ,    0.865754998450164  ,-0.0102978984328349     ,            0 ,                  1 ,                 1 ,          0.0   ,                0.223 ,0.223                ,0.2752105793765998 ,0.7177509996900329 ,0.442540420313433
Weill Cornell     ,does weill cornell nyc take humana insurance                                  ,https://wcinyp.org/patients/insurance-and-billing                                                                                                                                            ,      0.5 ,            0.5 ,0.0            ,0.0                ,  1.0                ,1.0                 ,0.8783261826767107 ,    0.8743694774282691 ,-0.0039567052484416     ,            0 ,                  1 ,                 1 ,          0.0   ,                0.044 ,0.044                ,0.2756652365353421 ,0.6836738954856538 ,0.4080086589503117
Weill Cornell     ,"well known pancreatic surgeon at columbia-weill cornell medical center, nyc" ,https://weillcornell.org/mlieberman                                                                                                                                                          ,      0.5 ,            0.5 ,0.0            ,0.0                ,  0.0                ,0.0                 ,0.9102659734562368 ,    0.9102659734562368 ,0.0                     ,            0 ,                  0 ,                 0 ,          0.0   ,                0.0   ,0.0                  ,0.2820531946912473 ,0.2820531946912473 ,0.0
Weill Cornell     ,best psychiatry manhattan                                                     ,https://weillcornell.org/services/psychiatry                                                                                                                                                 ,      0.5 ,            0.5 ,0.0            ,0.25               ,  0.25               ,0.0                 ,0.8664320966452211 ,    0.867016963935898  ,0.0005848672906768      ,            1 ,                  1 ,                 0 ,          0.105 ,                0.108 ,0.003                ,0.5442864193290442 ,0.5450033927871796 ,0.0007169734581353
Weill Cornell     ,kidney trasplant price in nyc                                                 ,https://www.nyp.org/transplant/kidney-transplant                                                                                                                                             ,      1.0 ,            1.0 ,0.0            ,0.5                ,  0.5                ,0.0                 ,0.8636723624935434 ,    0.8653653673990579 ,0.0016930049055144      ,            1 ,                  1 ,                 0 ,          0.0   ,                0.0   ,0.0                  ,0.6727344724987087 ,0.6730730734798116 ,0.0003386009811029
Weill Cornell     ,urology department                                                            ,https://weillcornell.org/services/urology                                                                                                                                                    ,      0.5 ,            0.5 ,0.0            ,0.0                ,  0.0                ,0.0                 ,0.8741242176342965 ,    0.8744613422085218 ,0.0003371245742253      ,            0 ,                  0 ,                 0 ,          0.0   ,                0.0   ,0.0                  ,0.2748248435268593 ,0.2748922684417043 ,6.742491484501567e-05
Weill Cornell     ,patient care manhattan                                                        ,https://weillcornell.org/services/primary-care-adult-internal-medicine                                                                                                                       ,      1.0 ,            1.0 ,0.0            ,0.0                ,  0.0                ,0.0                 ,0.8672776651031295 ,    0.8646444615617609 ,-0.0026332035413686     ,            0 ,                  0 ,                 0 ,          0.0   ,                0.0   ,0.0                  ,0.3734555330206259 ,0.3729288923123522 ,-0.0005266407082736